time_fs,mu_true,mu_pred,mm_true,mm_pred,q0_true,q0_pred,q1_true,q1_pred,q2_true,q2_pred,q3_true,q3_pred
2.444000053405761719e+01,2.322982102632522583e-01,2.288115322589874268e-01,3.587607643567025661e-04,3.522349288687109947e-04,2.181905292673036456e-04,2.828608558047562838e-04,-4.887910909019410610e-04,-4.710667126346379519e-04,2.417897194391116500e-04,2.319894410902634263e-04,2.881084765249397606e-05,-1.707580304355360568e-05
2.445999908447265625e+01,2.310713231563568115e-01,2.273242026567459106e-01,3.386286261957138777e-04,3.317611117381602526e-04,3.009368374478071928e-04,3.787211317103356123e-04,-5.405487609095871449e-04,-5.370280705392360687e-04,1.561144308652728796e-04,1.345366617897525430e-04,8.349744894076138735e-05,5.080633854959160089e-05
2.447999954223632812e+01,2.300283908843994141e-01,2.260946035385131836e-01,3.117773449048399925e-04,3.043325268663465977e-04,3.776003431994467974e-04,4.669416812248528004e-04,-5.853584734722971916e-04,-5.978304543532431126e-04,7.572578761028125882e-05,4.421272024046629667e-05,1.320323499385267496e-04,1.130868913605809212e-04
2.450000000000000000e+01,2.291883826255798340e-01,2.251375615596771240e-01,2.784360258374363184e-04,2.704446669667959213e-04,4.468773840926587582e-04,5.466896109282970428e-04,-6.220903596840798855e-04,-6.536726141348481178e-04,1.221593038280843757e-06,-4.264273957232944667e-05,1.739913714118301868e-04,1.713740202831104398e-04
2.452000045776367188e+01,2.285668104887008667e-01,2.244820743799209595e-01,2.390979207120835781e-04,2.307244430994614959e-04,5.075808148831129074e-04,6.167665123939514160e-04,-6.495161214843392372e-04,-7.031098939478397369e-04,-6.697594653815031052e-05,-1.236443931702524424e-04,2.089112531393766403e-04,2.240337635157629848e-04
2.454000091552734375e+01,2.281754165887832642e-01,2.241339385509490967e-01,1.945554104167968035e-04,1.859521871665492654e-04,5.587269552052021027e-04,6.772245396859943867e-04,-6.664748070761561394e-04,-7.461345521733164787e-04,-1.284968893742188811e-04,-1.971211459022015333e-04,2.362447557970881462e-04,2.707761886995285749e-04
2.455999946594238281e+01,2.280212342739105225e-01,2.240915000438690186e-01,1.459620398236438632e-04,1.370788086205720901e-04,5.995855899527668953e-04,7.271482609212398529e-04,-6.720893434248864651e-04,-7.819159072823822498e-04,-1.829330722102895379e-04,-2.620638406369835138e-04,2.554368693381547928e-04,3.106629592366516590e-04
2.457999992370605469e+01,2.281058132648468018e-01,2.243460416793823242e-01,9.482809400651603937e-05,8.521640847902745008e-05,6.295911152847111225e-04,7.655893568880856037e-04,-6.658636848442256451e-04,-8.097384707070887089e-04,-2.297702449141070247e-04,-3.184990200679749250e-04,2.660428290255367756e-04,3.426810435485094786e-04
2.460000038146972656e+01,2.284251153469085693e-01,2.248833030462265015e-01,4.273967351764440536e-05,3.159798870910890400e-05,6.483020843006670475e-04,7.916316972114145756e-04,-6.477083079516887665e-04,-8.284176001325249672e-04,-2.684815844986587763e-04,-3.633974120020866394e-04,2.678878081496804953e-04,3.665940021164715290e-04
2.462000083923339844e+01,2.289697229862213135e-01,2.256848663091659546e-01,-8.990796231955755502e-06,-2.248774762847460806e-05,6.554579013027250767e-04,8.043109555728733540e-04,-6.179023184813559055e-04,-8.362416410818696022e-04,-2.987155166920274496e-04,-3.960854955948889256e-04,2.611599338706582785e-04,3.812133509200066328e-04
2.463999938964843750e+01,2.297251224517822266e-01,2.267292439937591553e-01,-5.935513763688504696e-05,-7.576648931717500091e-05,6.509064114652574062e-04,8.029040182009339333e-04,-5.768497940152883530e-04,-8.322436478920280933e-04,-3.203127998858690262e-04,-4.164865240454673767e-04,2.462561533320695162e-04,3.872385423164814711e-04
2.465999984741210938e+01,2.306726872920989990e-01,2.279923409223556519e-01,-1.075288455467671156e-04,-1.270322973141446710e-04,6.344402791000902653e-04,7.878798060119152069e-04,-5.247307126410305500e-04,-8.171324734576046467e-04,-3.331844636704772711e-04,-4.245185118634253740e-04,2.234749117633327842e-04,3.842100268229842186e-04
2.468000030517578125e+01,2.317909300327301025e-01,2.294474095106124878e-01,-1.528686261735856533e-04,-1.751744712237268686e-04,6.058213766664266586e-04,7.587719010189175606e-04,-4.613873898051679134e-04,-7.908056140877306461e-04,-3.372934006620198488e-04,-4.215090884827077389e-04,1.928593846969306469e-04,3.719785599969327450e-04
2.470000076293945312e+01,2.330560088157653809e-01,2.310647666454315186e-01,-1.947377895703539252e-04,-2.191837120335549116e-04,5.649895756505429745e-04,7.164325797930359840e-04,-3.865498001687228680e-04,-7.534956093877553940e-04,-3.327377198729664087e-04,-4.065298708155751228e-04,1.542979298392310739e-04,3.513525589369237423e-04
2.471999931335449219e+01,2.344418466091156006e-01,2.328113317489624023e-01,-2.323344524484127760e-04,-2.581512671895325184e-04,5.122978473082184792e-04,6.617819890379905701e-04,-3.002176526933908463e-04,-7.064625970087945461e-04,-3.198626218363642693e-04,-3.796584205701947212e-04,1.077824126696214080e-04,3.219599311705678701e-04
2.473999977111816406e+01,2.359202951192855835e-01,2.346503734588623047e-01,-2.648616500664502382e-04,-2.912765776272863150e-04,4.487888072617352009e-04,5.954364314675331116e-04,-2.030467294389382005e-04,-6.502435426227748394e-04,-2.994609822053462267e-04,-3.421381697990000248e-04,5.371888983063399792e-05,2.850876189768314362e-04
2.476000022888183594e+01,2.374613285064697266e-01,2.365413010120391846e-01,-2.915805380325764418e-04,-3.178865881636738777e-04,3.763783897738903761e-04,5.184775800444185734e-04,-9.659277566242963076e-05,-5.860262899659574032e-04,-2.729017578531056643e-04,-2.945433952845633030e-04,-6.883873084007063881e-06,2.412966132396832108e-04
2.478000068664550781e+01,2.390331923961639404e-01,2.384416610002517700e-01,-3.117418673355132341e-04,-3.374621446710079908e-04,2.976426039822399616e-04,4.332520475145429373e-04,1.678384069236926734e-05,-5.153470556251704693e-04,-2.418950462015345693e-04,-2.379571960773319006e-04,-7.253140938701108098e-05,1.919838396133854985e-04
