epoch,loss,l_q,l_mu,l_mm,l_q_base,l_mu_base,l_mm_base,tf_prob,val_loss,val_internal,val_boundary,val_n_anchor,val_start_fs,val_end_fs,es_gate
0,4.107778072357178,0.005046325735747814,8.204093933105469,0.0013690133346244693,0.004340612795203924,8.204093933105469,0.0013690133346244693,1.0,3.5652947911832986,3.0566157550425372,4.073973827331192,6,24.0,28.0,0
1,4.13345193862915,0.023768505081534386,8.208263397216797,0.011103447526693344,0.021604783833026886,8.208263397216797,0.011103447526693344,0.9994444444444445,5.716628956997324,2.8559024215123436,8.577355492493739,6,24.0,28.0,0
2,4.178648948669434,0.00757492845878005,8.33828353881836,0.0038639719132333994,0.006790021434426308,8.33828353881836,0.0038639719132333994,0.9988888888888889,3.699928386989117,2.5433045171846422,4.856552256800992,6,24.0,28.0,0
3,4.117506504058838,0.0034793782979249954,8.222234725952148,0.00581892766058445,0.0029394766315817833,8.222234725952148,0.00581892766058445,0.9983333333333333,5.447549920443876,2.6185392273079837,8.276560613590664,6,24.0,28.0,0
4,4.108656883239746,0.005164965987205505,8.20414924621582,0.002833932638168335,0.004473641514778137,8.20414924621582,0.002833932638168335,0.9977777777777778,4.876611264405856,2.587862452579993,7.165360076241472,6,24.0,28.0,0
5,4.051259517669678,0.0050864312797784805,8.089126586914062,0.0032192289363592863,0.004397686570882797,8.089126586914062,0.0032192289363592863,0.9972222222222222,5.353884101685231,2.7536592726532567,7.954108930727912,6,24.0,28.0,0
6,4.042169570922852,0.004520203452557325,8.06810188293457,0.0071960813365876675,0.003854351118206978,8.06810188293457,0.0071960813365876675,0.9966666666666667,4.917876144320016,3.211282174157343,6.624470114492526,6,24.0,28.0,0
7,4.096325397491455,0.00799591839313507,8.169951438903809,0.006706880405545235,0.007083573378622532,8.169951438903809,0.006706880405545235,0.9961111111111111,5.2911853069728725,3.2887885826760943,7.293582031280234,6,24.0,28.0,0
8,4.149734020233154,0.011592786759138107,8.272207260131836,0.0040753851644694805,0.01041579432785511,8.272207260131836,0.0040753851644694805,0.9955555555555555,4.365555940275234,3.0224443422061213,5.70866753835308,6,24.0,28.0,0
9,4.061478137969971,0.01070327591150999,8.100072860717773,0.0014771001879125834,0.009709097445011139,8.100072860717773,0.0014771001879125834,0.995,3.0475910982728474,2.6117503641442728,3.4834318324075175,6,24.0,28.0,0
10,4.079634666442871,0.008333693258464336,8.140521049499512,0.0020808791741728783,0.007511819247156382,8.140521049499512,0.0020808791741728783,0.9944444444444445,4.558251584725453,2.0243548358504984,7.092148333609527,6,24.0,28.0,0
11,4.067164897918701,0.004851159639656544,8.122148513793945,0.002478227484971285,0.004290454555302858,8.122148513793945,0.002478227484971285,0.9938888888888889,4.420645973455044,1.6283406989610614,7.21295124795787,6,24.0,28.0,0
12,4.161096096038818,0.004092195071280003,8.309916496276855,0.0040916139259934425,0.0035001474898308516,8.309916496276855,0.0040916139259934425,0.9933333333333333,3.781461580798651,1.4119882476682413,6.1509349139366245,6,24.0,28.0,0
13,4.100781440734863,0.0029393434524536133,8.192970275878906,0.002714588539674878,0.002491958672180772,8.192970275878906,0.002714588539674878,0.9927777777777778,3.2256239324992495,1.4841392869716217,4.967108578033329,6,24.0,28.0,0
14,4.0661396980285645,0.004261486232280731,8.12004566192627,0.0037109963595867157,0.0036866420414298773,8.12004566192627,0.0037109963595867157,0.9922222222222222,4.409752202261703,1.6998046525160921,7.119699752016134,6,24.0,28.0,0
