time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
1.6000366,0.23545454,0.23506323,-5.6243895e-05,-5.5704226e-05,0,0
1.6200371,0.23495856,0.2345469,-6.2712934e-05,-6.197734e-05,0,0
1.6400375,0.23454407,0.23412646,-6.831136e-05,-6.739896e-05,0,0
1.660038,0.23421931,0.233807,-7.279138e-05,-7.188123e-05,0,0
1.6800385,0.23399276,0.23359156,-7.592046e-05,-7.524057e-05,0,0
1.7000389,0.23387153,0.23348248,-7.767417e-05,-7.724323e-05,0,0
1.7200394,0.23386008,0.23348175,-7.8149744e-05,-7.777654e-05,0,0
1.7400398,0.2339595,0.2335906,-7.742419e-05,-7.690196e-05,0,0
1.7600403,0.23416755,0.23380862,-7.550154e-05,-7.4762254e-05,0,0
1.7800407,0.23447865,0.23413296,-7.2309536e-05,-7.146879e-05,0,0
1.8000412,0.23488511,0.23455767,-6.782535e-05,-6.7037196e-05,0,0
1.8200417,0.23537877,0.2350738,-6.216653e-05,-6.144933e-05,0,0
1.8400421,0.23595119,0.23567009,-5.5434495e-05,-5.4770302e-05,0,0
1.8600426,0.236593,0.23633407,-4.765145e-05,-4.7115795e-05,0,0
1.880043,0.23729402,0.23705272,-3.8906423e-05,-3.8566093e-05,0,0
1.9000435,0.2380428,0.23781289,-2.9352617e-05,-2.9207678e-05,0,0
1.920044,0.23882551,0.23860146,-1.9196164e-05,-1.9176248e-05,0,0
1.9400444,0.2396257,0.23940487,-8.789529e-06,-8.67134e-06,0,0
1.9600449,0.2404249,0.24020846,1.5017686e-06,1.9813237e-06,0,0
1.9800453,0.24120429,0.24099617,1.1489926e-05,1.2380041e-05,0,0
2.0000458,0.2419464,0.24175082,2.1142663e-05,2.2220394e-05,0,0
2.0200462,0.24263577,0.2424553,3.0472587e-05,3.1389704e-05,0,0
2.0400467,0.24325895,0.24309368,3.942456e-05,3.992247e-05,0,0
2.0600471,0.24380457,0.24365212,4.7867892e-05,4.7870457e-05,0,0
2.0800476,0.24426317,0.24411935,5.564805e-05,5.5212404e-05,0,0
2.100048,0.24462678,0.24448693,6.2561194e-05,6.18506e-05,0,0
2.1200485,0.24488837,0.2447489,6.839183e-05,6.761142e-05,0,0
2.140049,0.24504119,0.24490133,7.2961586e-05,7.2275696e-05,0,0
2.1600494,0.24507967,0.24494149,7.609295e-05,7.5634496e-05,0,0
2.18005,0.24500155,0.24486747,7.767306e-05,7.749857e-05,0,0
2.2000504,0.24480855,0.24467865,7.775738e-05,7.77362e-05,0,0
2.2200508,0.24450555,0.2443766,7.6528435e-05,7.6363416e-05,0,0
2.2400513,0.24410084,0.24396585,7.413434e-05,7.356831e-05,0,0
2.2600517,0.24360515,0.24345438,7.056613e-05,6.959952e-05,0,0
2.2800522,0.24302955,0.2428537,6.574565e-05,6.4600645e-05,0,0
2.3000526,0.24238469,0.24217783,5.9690545e-05,5.8574176e-05,0,0
2.320053,0.24168083,0.24144194,5.252072e-05,5.1502284e-05,0,0
2.3400536,0.24092823,0.24066114,4.44168e-05,4.3444645e-05,0,0
2.360054,0.240139,0.2398497,3.5666315e-05,3.455831e-05,0,0
2.3800545,0.23932834,0.23902129,2.6631857e-05,2.5120295e-05,0,0
2.400055,0.23851371,0.23819005,1.756636e-05,1.551458e-05,0,0
2.4200554,0.23771332,0.23737141,8.592341e-06,6.093369e-06,0,0
2.4400558,0.23694566,0.23658206,-1.8585321e-07,-2.929294e-06,0,0
2.4600563,0.23622888,0.23583966,-8.759413e-06,-1.1447288e-05,0,0
2.4800568,0.2355798,0.23516205,-1.7147751e-05,-1.9467096e-05,0,0
2.5000572,0.235013,0.23456635,-2.5157573e-05,-2.7066819e-05,0,0
2.5200577,0.23454061,0.23406787,-3.2557535e-05,-3.420491e-05,0,0
2.5400581,0.23417282,0.23367922,-3.929721e-05,-4.071364e-05,0,0
2.5600586,0.23391858,0.23340987,-4.5371224e-05,-4.6475638e-05,0,0
2.580059,0.23378572,0.23326632,-5.0816805e-05,-5.1461535e-05,0,0
2.6000595,0.23378068,0.23325273,-5.5763652e-05,-5.57203e-05,0,0
2.62006,0.2339079,0.23337132,-6.026105e-05,-5.9395767e-05,0,0
2.6400604,0.23416854,0.23362264,-6.424141e-05,-6.262228e-05,0,0
2.660061,0.2345592,0.23400523,-6.764818e-05,-6.5426575e-05,0,0
2.6800613,0.23507178,0.23451452,-7.0479575e-05,-6.7764915e-05,0,0
2.7000618,0.2356943,0.23514195,-7.2775976e-05,-6.959931e-05,0,0
2.7200623,0.23641214,0.23587447,-7.4552576e-05,-7.093757e-05,0,0
2.7400627,0.23721014,0.23669498,-7.5682845e-05,-7.1802606e-05,0,0
2.7600632,0.23807384,0.23758374,-7.591204e-05,-7.2125724e-05,0,0
2.7800636,0.23898824,0.23852031,-7.5057105e-05,-7.1690294e-05,0,0
2.800064,0.23993649,0.23948476,-7.315057e-05,-7.024588e-05,0,0
2.8200645,0.24090025,0.24045785,-7.030574e-05,-6.7694964e-05,0,0
2.840065,0.2418602,0.24142095,-6.647485e-05,-6.4109874e-05,0,0
2.8600655,0.242796,0.24235602,-6.148414e-05,-5.9546044e-05,0,0
2.880066,0.24368669,0.24324527,-5.5311877e-05,-5.392947e-05,0,0
2.9000664,0.2445119,0.24407127,-4.81786e-05,-4.7196507e-05,0,0
2.9200668,0.24525386,0.24481702,-4.0407984e-05,-3.947167e-05,0,0
2.9400673,0.24589802,0.24546677,-3.2293345e-05,-3.107189e-05,0,0
2.9600677,0.24643172,0.24600704,-2.3922783e-05,-2.238378e-05,0,0
2.9800682,0.24684358,0.24642684,-1.5153162e-05,-1.3658432e-05,0,0
3.0000687,0.24712402,0.24671745,-5.9118056e-06,-4.8775814e-06,0,0
3.0200691,0.24726513,0.24687229,3.6470637e-06,4.0949644e-06,0,0
3.0400696,0.24726005,0.24688652,1.3257088e-05,1.3273928e-05,0,0
3.06007,0.24710366,0.24675672,2.255383e-05,2.2487824e-05,0,0
3.0800705,0.2467941,0.24648051,3.118733e-05,3.139282e-05,0,0
3.100071,0.2463338,0.24605717,3.9114395e-05,3.9576415e-05,0,0
3.1200714,0.24572966,0.24548846,4.652386e-05,4.682138e-05,0,0
3.1400719,0.24499269,0.24477988,5.3455835e-05,5.3217587e-05,0,0
3.1600723,0.24413721,0.24394134,5.975853e-05,5.8932463e-05,0,0
3.1800728,0.24317977,0.24298748,6.531658e-05,6.399538e-05,0,0
3.2000732,0.24213848,0.24193731,7.016435e-05,6.8340545e-05,0,0
